show_id,type_x,title,director,country,date_added,release_year,rating,duration,listed_in,index,id,type_y,description,age_certification,runtime,imdb_id,imdb_score,imdb_votes
s5819,Movie,Jim Gaffigan: Obsessed,Jay Chapman,United States,8/11/2016,2014,TV-14,70 min,Stand-Up Comedy,1017,tm151210,MOVIE,"Jim Gaffigan bursts back on the scene with this eagerly anticipated fourth comedy special. Dubbed the ""King of Clean Comedy"" by The Wall Street Journal, Jim's obsession with all things food comes to fruition on Obsessed as he tackles a cornucopia of new food topics from fruit to seafood to donuts. Get ready for 70 minutes of non-stop laughs at Jim's twisted-yet-enlightened observations on the seemingly mundane topics that have made him a fixture in the comedy world for audiences of all ages.",,70,tt3481550,7.6,2226.0
s5821,Movie,Lavell Crawford: Can a Brother Get Some Love?,Michael Drumm,United States,8/2/2016,2011,TV-MA,81 min,Stand-Up Comedy,794,tm164090,MOVIE,"""Last Comic Standing"" runner-up Lavell Crawford lords over a hometown crowd at St. Louis's Orpheum Theatre, raking in the love -- and the laughs. Jokes cover the hilarity of presidential politics and the social scene in heaven.",NC-17,90,tt2084872,6.9,230.0
s5822,Movie,Children of God,John Smithson,United Kingdom,8/1/2016,1994,TV-MA,63 min,Documentaries,174,tm320211,MOVIE,"A former member examines the lingering effects of being raised in the Family, a cult whose disturbing practices include the sexual abuse of children.",,63,tt6051792,6.4,589.0
s5825,Movie,Interview with a Serial Killer,Christopher Martin,United States,8/1/2016,2008,TV-MA,45 min,Documentaries,620,tm352243,MOVIE,"In this jailhouse interview, Arthur Shawcross, the Genesee River Killer, shares candid details of his crimes and his surprising family bonds.",PG-13,44,tt6978288,5.9,595.0
s5829,Movie,Tallulah,Sian Heder,United States,7/29/2016,2016,TV-MA,112 min,"Dramas, Independent Movies",1334,tm219276,MOVIE,"Desperate to be rid of her toddler, a dissatisfied Beverly Hills housewife hires a stranger to babysit and ends up getting much more than she bargained for.",,111,tt1639084,6.7,20111.0
s5831,Movie,Rebirth,Karl Mueller,United States,7/15/2016,2016,TV-MA,101 min,"Dramas, Thrillers",1439,tm244638,MOVIE,A man's life is turned inside out after a visit from his college friend leads him into the unexpected.,,101,tt4902716,4.9,5156.0
s5832,Movie,Tony Robbins: I Am Not Your Guru,Joe Berlinger,United States,7/15/2016,2016,TV-MA,117 min,Documentaries,1451,tm239762,MOVIE,"Granted unprecedented access, Berlinger captures renowned life and business strategist Tony Robbins behind the scenes of his mega seminar Date with Destiny, pulling back the curtain on this life-altering and controversial event, the zealous participants and the man himself.",,115,tt5151716,6.7,4335.0
s5834,Movie,Brahman Naman,Qaushiq Mukherjee,India,7/6/2016,2016,TV-MA,96 min,"Comedies, Independent Movies, International Movies",1659,tm232947,MOVIE,This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything -- except how to talk to women.,,94,tt5240748,5.5,1884.0
s5835,TV Show,Kuromukuro,Tensai Okamura,Japan,7/4/2016,2016,TV-14,2 Seasons,"Anime Series, International TV Shows",1362,ts39014,SHOW,"When mecha attack a research center, its students, pilots, and researchers must fight back with the help of mysterious artifacts and a young samurai.",TV-14,24,tt5895314,7.2,1265.0
s5836,Movie,Jim Jefferies: Freedumb,Ryan Polito,United States,7/1/2016,2016,TV-MA,87 min,Stand-Up Comedy,1464,tm245148,MOVIE,"Returning for a second Netflix comedy special, Jim Jefferies unleashes his famously ferocious black humor to a packed house in Nashville, Tennessee.",R,86,tt5849950,7.7,5393.0
s5838,Movie,X: Past Is Present,"Hemant Gaba, Pratim D. Gupta, Sudhish Kamath, Nalan Kumarasamy, Anu Menon, Sandeep Mohan, Qaushiq Mukherjee, Rajshree Ojha, Raja Sen, Abhinav Shiv Tiwari, Suparn Verma",India,7/1/2016,2015,TV-MA,105 min,"Dramas, Independent Movies, International Movies",1611,tm155382,MOVIE,"When a middle-aged filmmaker meets an alluring stranger at a party, he's haunted by troubling memories of his past relationships.",PG-13,105,tt5207116,5.1,699.0
s5841,Movie,The Fundamentals of Caring,Rob Burnett,United States,6/24/2016,2016,TV-MA,97 min,"Comedies, Dramas, Independent Movies",1250,tm219248,MOVIE,"Having suffered a tragedy, Ben becomes a caregiver to earn money. His first client, Trevor, is a hilarious 18-year-old with muscular dystrophy. One paralyzed emotionally, one paralyzed physically, Ben and Trevor hit the road on a trip into the western states. The folks they collect along the way will help them test their skills for surviving outside their calculated existence. Together, they come to understand the importance of hope and the necessity of true friendship.",R,97,tt2452386,7.3,70542.0
